k,evaluated_orders,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,mean_candidate_cross_entropy,catalog_coverage_at_k,model,weight_copurchase,weight_product2vec,weight_adamic_adar,weight_metadata,random_seed,training_start,training_end,evaluation_start,evaluation_end,training_statuses,graph_weighting,edge_threshold,half_life_months,product2vec_config,blend_weights,metadata_weights,evaluation_k
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.17285923141186296,12.688952624661987,0.11131957473420888,final_weight_candidate,0.0,0.3,0.4,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.3}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.20085630743525484,12.976535428939178,0.10986032937252449,final_weight_candidate,0.0,0.4,0.3,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.4}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.149906015037594,14.812975566080764,0.11069418386491557,final_weight_candidate,0.0,0.4,0.4,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.4}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.21461988304093566,14.472133208114656,0.11027725661872004,final_weight_candidate,0.0,0.5,0.2,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.18641917293233082,15.103266005795493,0.11027725661872004,final_weight_candidate,0.0,0.5,0.3,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02631578947368421,0.2631578947368421,0.2631578947368421,0.1360902255639098,17.24625409762888,0.11194496560350219,final_weight_candidate,0.0,0.5,0.4,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.1, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.2137061403508772,15.065593972989195,0.10902647488013342,final_weight_candidate,0.0,0.6,0.1,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.1, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.1857456140350877,15.696780736179335,0.11298728371899104,final_weight_candidate,0.0,0.6,0.2,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02894736842105263,0.2894736842105263,0.2894736842105263,0.15970133667502087,17.535089638841715,0.11215342922659996,final_weight_candidate,0.0,0.6,0.3,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.0, ""metadata"": 0.1, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.09904448621553885,19.377489544165496,0.09776943923285386,final_weight_candidate,0.0,0.6,0.4,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.0, ""metadata"": 0.0, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.2142700501253133,15.356478752407883,0.10944340212632896,final_weight_candidate,0.0,0.7,0.0,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.0, ""metadata"": 0.3, ""product2vec"": 0.7}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.18777151211361737,16.592494932319745,0.1104857202418178,final_weight_candidate,0.0,0.7,0.1,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.1, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.7}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.030263157894736843,0.3026315789473684,0.3026315789473684,0.16008771929824564,17.52372112802519,0.11194496560350219,final_weight_candidate,0.0,0.7,0.2,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.0, ""metadata"": 0.1, ""product2vec"": 0.7}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02631578947368421,0.2631578947368421,0.2631578947368421,0.1235014619883041,19.364824798208463,0.09776943923285386,final_weight_candidate,0.0,0.7,0.3,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.0, ""metadata"": 0.0, ""product2vec"": 0.7}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.030263157894736843,0.3026315789473684,0.3026315789473684,0.18914473684210525,17.18279147356122,0.11131957473420888,final_weight_candidate,0.0,0.8,0.0,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.0, ""metadata"": 0.2, ""product2vec"": 0.8}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02894736842105263,0.2894736842105263,0.2894736842105263,0.17481203007518795,18.11467060147572,0.1111111111111111,final_weight_candidate,0.0,0.8,0.1,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.1, ""copurchase"": 0.0, ""metadata"": 0.1, ""product2vec"": 0.8}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02631578947368421,0.2631578947368421,0.2631578947368421,0.1252558479532164,19.654405754812146,0.09735251198665833,final_weight_candidate,0.0,0.8,0.2,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.0, ""metadata"": 0.0, ""product2vec"": 0.8}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.030263157894736843,0.3026315789473684,0.3026315789473684,0.17777777777777778,18.101514160361912,0.11090264748801335,final_weight_candidate,0.0,0.9,0.0,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.0, ""metadata"": 0.1, ""product2vec"": 0.9}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.14082602339181285,19.942878681094662,0.09651865749426725,final_weight_candidate,0.0,0.9,0.1,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.1, ""copurchase"": 0.0, ""metadata"": 0.0, ""product2vec"": 0.9}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.20833333333333331,12.661593790803762,0.11131957473420888,final_weight_candidate,0.1,0.3,0.3,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.1, ""metadata"": 0.3, ""product2vec"": 0.3}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.16249999999999998,13.291784804226614,0.1111111111111111,final_weight_candidate,0.1,0.3,0.4,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.1, ""metadata"": 0.2, ""product2vec"": 0.3}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.22653508771929823,12.95032896480384,0.11006879299562226,final_weight_candidate,0.1,0.4,0.2,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.1, ""metadata"": 0.3, ""product2vec"": 0.4}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.19780701754385965,14.48454915297409,0.11069418386491557,final_weight_candidate,0.1,0.4,0.3,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.1, ""metadata"": 0.2, ""product2vec"": 0.4}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02894736842105263,0.2894736842105263,0.2894736842105263,0.1724780701754386,16.325956122359877,0.11298728371899104,final_weight_candidate,0.1,0.4,0.4,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.1, ""metadata"": 0.1, ""product2vec"": 0.4}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.22130847953216373,14.448875633706573,0.10860954763393788,final_weight_candidate,0.1,0.5,0.1,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.1, ""copurchase"": 0.1, ""metadata"": 0.3, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.21001461988304096,15.077809614305924,0.11069418386491557,final_weight_candidate,0.1,0.5,0.2,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.2, ""copurchase"": 0.1, ""metadata"": 0.2, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.176952798663325,16.9182101794639,0.11277882009589327,final_weight_candidate,0.1,0.5,0.3,0.1,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.3, ""copurchase"": 0.1, ""metadata"": 0.1, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.02763157894736842,0.27631578947368424,0.27631578947368424,0.13762531328320804,19.06280086387603,0.09818636647904941,final_weight_candidate,0.1,0.5,0.4,0.0,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.4, ""copurchase"": 0.1, ""metadata"": 0.0, ""product2vec"": 0.5}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.034210526315789476,0.34210526315789475,0.34210526315789475,0.23907163742690057,15.040452935338228,0.10923493850323118,final_weight_candidate,0.1,0.6,0.0,0.3,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.0, ""copurchase"": 0.1, ""metadata"": 0.3, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
10.0,76.0,0.03289473684210526,0.32894736842105265,0.32894736842105265,0.21655701754385967,15.974162667173726,0.1111111111111111,final_weight_candidate,0.1,0.6,0.1,0.2,42,2019-04-15 09:32:57,2024-07-13 13:56:34,2024-07-14 04:52:44,2025-08-21 06:48:08,wc-cancelled | wc-completed | wc-failed | wc-pending | wc-pickup | wc-ready-pickup | wc-refunded,cosine,1,6.0,"{""epochs"": 2, ""learning_rate"": 0.05, ""n_components"": 48, ""negative_samples"": 2, ""p"": 1.0, ""q"": 1.0, ""walk_length"": 8, ""walks_per_node"": 2, ""window_size"": 3}","{""adamic_adar"": 0.1, ""copurchase"": 0.1, ""metadata"": 0.2, ""product2vec"": 0.6}","{""Κατηγορίες προϊόντων"": 0.35, ""Μάρκες"": 0.2, ""Προϊόν Ήρωας"": 0.15, ""Προϊόν Ηλικία"": 0.25, ""Προϊόν Φύλλο"": 0.05}",10
